timestamp,model,dataset,notes,Return_MAE,Return_MSE,Return_RMSE,num_drifts_detected,total_retrain_time,average_retrain_time,model_switches,trial_verdicts,trials_promoted,trials_held,final_model,num_retrains,detect_true_positives,detect_false_positives,detect_false_negatives,detect_precision,detect_recall,detect_f1_score,detect_avg_detection_delay,total_time
2026-03-02 17:52:15,PSO_LSTM_kswin,linear_gradual_drift_1,,0.0372261234946148,0.0050026378787827,0.0707293282788884,12,234.0620722770691,19.50517268975576,2,"['held', 'held', 'held', 'held', 'held', 'held', 'held', 'held', 'held', 'held', 'promoted', 'promoted']",2,10,v0,12,3,9,0,0.25,1.0,0.4,-53.66666666666666,260.2233090400696
2026-03-02 17:53:38,PSO_ELM_kswin,linear_gradual_drift_1,,0.0251626852326878,0.0011808433524199,0.0343634013511458,13,81.07549905776978,6.236576850597675,8,"['promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'held', 'held', 'held', 'held', 'promoted', 'promoted']",8,5,v13,13,3,10,0,0.2307692307692307,1.0,0.375,68.33333333333333,82.71616554260254
2026-03-02 17:54:01,LSTM_kswin,linear_gradual_drift_1,,0.0287259526181625,0.0013351583268596,0.0365398183747488,13,2.080276727676392,0.1600212867443378,12,"['promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted']",12,1,v13,13,2,11,1,0.1538461538461538,0.6666666666666666,0.25,67.5,23.04187536239624
2026-03-02 17:54:03,ELM_kswin,linear_gradual_drift_1,,0.0352057527648457,0.0027861007030008,0.0527835268147253,12,0.0070390701293945,0.0005865891774495,9,"['promoted', 'promoted', 'held', 'promoted', 'held', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted']",9,3,v12,12,3,9,0,0.25,1.0,0.4,-81.33333333333333,1.881403446197509
2026-03-02 18:02:40,PSO_LSTM_kswin,linear_gradual_drift_2,,0.0260016579906879,0.0011138921923241,0.0333750234805039,12,103.15794968605042,8.596495807170868,5,"['promoted', 'promoted', 'held', 'promoted', 'promoted', 'held', 'held', 'promoted', 'held', 'held', 'held', 'held']",5,7,v7,12,3,9,0,0.25,1.0,0.4,25.666666666666668,131.09519720077515
2026-03-02 18:03:34,PSO_ELM_kswin,linear_gradual_drift_2,,0.0320030757647451,0.0020090034050259,0.0448219076459931,16,52.916088581085205,3.3072555363178253,12,"['promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'held', 'held', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted']",12,4,v16,16,3,13,0,0.1875,1.0,0.3157894736842105,113.66666666666669,54.14510726928711
2026-03-02 18:03:58,LSTM_kswin,linear_gradual_drift_2,,0.0259485213205554,0.0010523677665617,0.0324402183494774,11,1.7775349617004397,0.1615940874273126,9,"['promoted', 'promoted', 'held', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted']",9,2,v11,11,2,9,1,0.1818181818181818,0.6666666666666666,0.2857142857142857,-101.5,23.766211986541748
2026-03-02 18:03:59,ELM_kswin,linear_gradual_drift_2,,0.0500688761894256,0.0127946640765734,0.1131135008589753,12,0.0091574192047119,0.0007631182670593,8,"['promoted', 'promoted', 'promoted', 'promoted', 'held', 'held', 'held', 'promoted', 'held', 'promoted', 'promoted', 'promoted']",8,4,v12,12,2,10,1,0.1666666666666666,0.6666666666666666,0.2666666666666666,-10.5,1.7210772037506104
2026-03-02 18:12:56,PSO_LSTM_kswin,linear_gradual_drift_3,,0.0238730488578503,0.0008922930564285,0.0298712747707316,10,98.04967594146729,9.804967594146728,3,"['held', 'held', 'held', 'held', 'promoted', 'promoted', 'held', 'held', 'promoted', 'held']",3,7,v8,10,3,7,0,0.3,1.0,0.4615384615384615,-50.66666666666666,123.8280792236328
2026-03-02 18:14:18,PSO_ELM_kswin,linear_gradual_drift_3,,0.0560610231743472,0.0300374348282865,0.1733131121072105,15,80.01782417297363,5.334521611531575,13,"['held', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted']",13,2,v12,15,3,12,0,0.2,1.0,0.3333333333333333,-75.66666666666667,81.32352375984192
