timestamp,model,dataset,notes,Return_MAE,Return_MSE,Return_RMSE,num_drifts_detected,total_retrain_time,average_retrain_time,model_switches,trial_verdicts,trials_promoted,trials_held,final_model,num_retrains,detect_true_positives,detect_false_positives,detect_false_negatives,detect_precision,detect_recall,detect_f1_score,detect_avg_detection_delay,total_time
2026-03-02 17:52:15,PSO_LSTM_kswin,linear_gradual_drift_1,,0.0372261234946148,0.0050026378787827,0.0707293282788884,12,234.0620722770691,19.50517268975576,2,"['held', 'held', 'held', 'held', 'held', 'held', 'held', 'held', 'held', 'held', 'promoted', 'promoted']",2,10,v0,12,3,9,0,0.25,1.0,0.4,-53.66666666666666,260.2233090400696
2026-03-02 17:54:01,LSTM_kswin,linear_gradual_drift_1,,0.0287259526181625,0.0013351583268596,0.0365398183747488,13,2.080276727676392,0.1600212867443378,12,"['promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted']",12,1,v13,13,2,11,1,0.1538461538461538,0.6666666666666666,0.25,67.5,23.04187536239624
2026-03-02 18:02:40,PSO_LSTM_kswin,linear_gradual_drift_2,,0.0260016579906879,0.0011138921923241,0.0333750234805039,12,103.15794968605042,8.596495807170868,5,"['promoted', 'promoted', 'held', 'promoted', 'promoted', 'held', 'held', 'promoted', 'held', 'held', 'held', 'held']",5,7,v7,12,3,9,0,0.25,1.0,0.4,25.666666666666668,131.09519720077515
2026-03-02 18:03:58,LSTM_kswin,linear_gradual_drift_2,,0.0259485213205554,0.0010523677665617,0.0324402183494774,11,1.7775349617004397,0.1615940874273126,9,"['promoted', 'promoted', 'held', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted']",9,2,v11,11,2,9,1,0.1818181818181818,0.6666666666666666,0.2857142857142857,-101.5,23.766211986541748
2026-03-02 18:12:56,PSO_LSTM_kswin,linear_gradual_drift_3,,0.0238730488578503,0.0008922930564285,0.0298712747707316,10,98.04967594146729,9.804967594146728,3,"['held', 'held', 'held', 'held', 'promoted', 'promoted', 'held', 'held', 'promoted', 'held']",3,7,v8,10,3,7,0,0.3,1.0,0.4615384615384615,-50.66666666666666,123.8280792236328
2026-03-02 18:14:39,LSTM_kswin,linear_gradual_drift_3,,0.0256804186272214,0.0010406901225712,0.0322597291149697,12,1.823350429534912,0.1519458691279093,11,"['promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted']",11,1,v12,12,3,9,0,0.25,1.0,0.4,201.66666666666663,21.21586537361145
2026-03-02 18:22:55,PSO_LSTM_kswin,linear_gradual_drift_4,,0.0259098165439308,0.0010765695191492,0.032811118834158,10,73.96155905723572,7.396155905723572,6,"['promoted', 'held', 'promoted', 'promoted', 'promoted', 'held', 'held', 'promoted', 'promoted', 'held']",6,4,v0,10,2,8,1,0.2,0.6666666666666666,0.3076923076923076,111.5,100.05643939971924
2026-03-02 18:24:11,LSTM_kswin,linear_gradual_drift_4,,0.0245449308563788,0.0009707131593424,0.0311562699844266,12,1.70414400100708,0.1420120000839233,10,"['promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted']",10,2,v12,12,1,11,2,0.0833333333333333,0.3333333333333333,0.1333333333333333,199.0,20.91633462905884
2026-03-02 18:32:30,PSO_LSTM_kswin,linear_gradual_drift_5,,0.0275980996728395,0.0014033240644787,0.0374609672122691,16,96.75682592391968,6.04730162024498,6,"['held', 'held', 'held', 'held', 'held', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'held', 'held', 'held']",6,10,v0,16,2,14,1,0.125,0.6666666666666666,0.2105263157894736,-43.0,120.66114234924316
2026-03-02 18:34:02,LSTM_kswin,linear_gradual_drift_5,,0.024427922708598,0.0009464382858397,0.0307642371242926,14,2.5886359214782715,0.1849025658198765,11,"['promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'held']",11,3,v13,14,1,13,2,0.0714285714285714,0.3333333333333333,0.1176470588235294,66.0,23.277913570404053
2026-03-02 18:42:46,PSO_LSTM_kswin,linear_gradual_drift_6,,0.0339356933420157,0.0041191061136349,0.0641802626485354,12,117.06224989891052,9.755187491575876,6,"['held', 'promoted', 'promoted', 'held', 'held', 'held', 'promoted', 'promoted', 'held', 'held', 'promoted', 'promoted']",6,6,v0,12,1,11,2,0.0833333333333333,0.3333333333333333,0.1333333333333333,-170.0,142.46252608299255
2026-03-02 18:44:41,LSTM_kswin,linear_gradual_drift_6,,0.0246689745729516,0.0009643688732784,0.0310542891285319,11,1.48785662651062,0.1352596933191472,10,"['held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted']",10,1,v11,11,2,9,1,0.1818181818181818,0.6666666666666666,0.2857142857142857,91.5,19.681880474090576
2026-03-02 18:53:46,PSO_LSTM_kswin,linear_gradual_drift_7,,0.0384400144168745,0.0032592141261692,0.057089527289769,14,124.74676561355592,8.910483258111137,3,"['held', 'held', 'held', 'held', 'promoted', 'promoted', 'promoted', 'held', 'held', 'held', 'held', 'held', 'held', 'held']",3,11,v7,14,3,11,0,0.2142857142857142,1.0,0.3529411764705882,99.0,149.9168472290039
2026-03-02 18:55:16,LSTM_kswin,linear_gradual_drift_7,,0.0264929028442453,0.0011188912087138,0.0334498312210074,12,2.054795265197754,0.1712329387664795,8,"['promoted', 'held', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'held', 'held', 'promoted', 'promoted', 'promoted']",8,4,v12,12,2,10,1,0.1666666666666666,0.6666666666666666,0.2666666666666666,-37.0,21.55313205718994
2026-03-02 19:04:14,PSO_LSTM_kswin,linear_gradual_drift_8,,0.0458822614397998,0.0046181367235166,0.0679568739975333,16,121.28573417663574,7.580358386039734,8,"['promoted', 'promoted', 'held', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'held', 'held', 'held', 'held', 'held']",8,8,v7,16,2,14,1,0.125,0.6666666666666666,0.2105263157894736,-78.5,145.94897055625916
2026-03-02 19:05:46,LSTM_kswin,linear_gradual_drift_8,,0.0257631425402056,0.0010376408040545,0.0322124324454791,14,2.5697875022888184,0.183556250163487,13,"['promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted']",13,1,v14,14,2,12,1,0.1428571428571428,0.6666666666666666,0.2352941176470588,-122.0,24.269104719161987
2026-03-02 19:14:42,PSO_LSTM_kswin,linear_gradual_drift_9,,0.0260490871970211,0.0013342314361007,0.0365271328754496,11,111.80278420448305,10.16388947313482,2,"['held', 'held', 'held', 'held', 'held', 'held', 'promoted', 'held', 'promoted', 'held', 'held']",2,9,v0,11,3,8,0,0.2727272727272727,1.0,0.4285714285714285,43.0,136.65194010734558
2026-03-02 19:15:46,LSTM_kswin,linear_gradual_drift_9,,0.0261571369741885,0.0011232841583692,0.0335154316452767,13,1.8412563800811768,0.1416351061600905,10,"['promoted', 'promoted', 'held', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted']",10,3,v13,13,3,10,0,0.2307692307692307,1.0,0.375,44.333333333333336,23.20891785621643
2026-03-02 19:25:04,PSO_LSTM_kswin,linear_gradual_drift_10,,0.0253410208900334,0.0010143056159413,0.0318481650325627,13,144.74884414672852,11.13452647282527,1,"['held', 'held', 'promoted', 'held', 'held', 'held', 'held', 'held', 'held', 'held', 'held', 'held']",1,11,v3,13,2,11,1,0.1538461538461538,0.6666666666666666,0.25,47.0,171.12651538848877
2026-03-02 19:27:14,LSTM_kswin,linear_gradual_drift_10,,0.0243548899415672,0.0009366511429536,0.0306047568680691,12,1.868669271469116,0.155722439289093,10,"['promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'held']",10,2,v11,12,2,10,1,0.1666666666666666,0.6666666666666666,0.2666666666666666,57.5,20.759138822555546
